evaluation_strategy,classifier,model_name,scope,metric,mean,std,min,max,median
train_test_split,random_forest,mofa_trained_lg2_fs,test,f1,0.3759429605482236,0.1778819003183658,0.0,0.6666666666666666,0.4222222222222222
train_test_split,random_forest,mofa_trained_lg2_fs,test,pr_auc,0.4782306289511219,0.1463673972046455,0.1740697250777896,0.7238514173998044,0.5039424695674695
train_test_split,random_forest,mofa_trained_vsn,test,balanced_accuracy,0.6611111111111111,0.0941114254949129,0.4666666666666667,0.8333333333333333,0.65
train_test_split,random_forest,mofa_trained_vsn,test,precision,0.6688888888888889,0.3290161035937454,0.0,1.0,0.6666666666666666
train_test_split,random_forest,mofa_trained_vsn,test,recall,0.3722222222222222,0.1840546589923959,0.0,0.6666666666666666,0.3333333333333333
train_test_split,random_forest,mofa_trained_vsn,test,f1,0.4505122655122655,0.2019935921296579,0.0,0.8,0.4444444444444444
train_test_split,random_forest,mofa_trained_vsn,test,pr_auc,0.5345345542214058,0.1661239448484273,0.1547453389958134,0.7461279461279461,0.5514762958474926
train_test_split,random_forest,mofa_trained_vsn_fs,test,balanced_accuracy,0.6199999999999998,0.0901679998626658,0.4333333333333333,0.7666666666666666,0.6333333333333333
train_test_split,random_forest,mofa_trained_vsn_fs,test,precision,0.4137087912087912,0.2215242358426475,0.0,1.0,0.4642857142857143
train_test_split,random_forest,mofa_trained_vsn_fs,test,recall,0.3499999999999999,0.2114989379790913,0.0,0.8333333333333334,0.3333333333333333
train_test_split,random_forest,mofa_trained_vsn_fs,test,f1,0.3524964411806516,0.1733512157743528,0.0,0.6666666666666666,0.4
train_test_split,random_forest,mofa_trained_vsn_fs,test,pr_auc,0.4697673490011196,0.1594550176192695,0.1671858398531826,0.7294584500466853,0.4929379652396336
nested_cv,linear_svm,mofa_trained_lg2,outer_test,balanced_accuracy,0.6540919540229884,0.0260581128177149,0.5948275862068966,0.6986206896551723,0.6552873563218391
nested_cv,linear_svm,mofa_trained_lg2,outer_test,precision,0.3894258165581695,0.059564248112167,0.2743001443001443,0.55,0.3808874458874458
nested_cv,linear_svm,mofa_trained_lg2,outer_test,recall,0.4733333333333333,0.0392262325237546,0.3666666666666666,0.5266666666666666,0.48
nested_cv,linear_svm,mofa_trained_lg2,outer_test,f1,0.4079929952863725,0.0403947332955026,0.3308683473389355,0.4948717948717949,0.4086483073170379
